"gene_id","gene_name"
"ENSG00000003756","RBM5"
"ENSG00000004700","RECQL"
"ENSG00000004777","ARHGAP33"
"ENSG00000004961","HCCS"
"ENSG00000005001","PRSS22"
"ENSG00000005238","FAM214B"
"ENSG00000005513","SOX8"
"ENSG00000005812","FBXL3"
"ENSG00000005889","ZFX"
"ENSG00000006062","MAP3K14"
"ENSG00000006118","TMEM132A"
"ENSG00000006125","AP2B1"
"ENSG00000006194","ZNF263"
"ENSG00000006282","SPATA20"
"ENSG00000006327","TNFRSF12A"
"ENSG00000006459","KDM7A"
"ENSG00000007038","PRSS21"
"ENSG00000007384","RHBDF1"
"ENSG00000007545","CRAMP1"
"ENSG00000008128","CDK11A"
"ENSG00000008300","CELSR3"
"ENSG00000008324","SS18L2"
"ENSG00000008405","CRY1"
"ENSG00000008516","MMP25"
"ENSG00000008517","IL32"
"ENSG00000008710","PKD1"
"ENSG00000009954","BAZ1B"
"ENSG00000010244","ZNF207"
"ENSG00000010270","STARD3NL"
"ENSG00000010310","GIPR"
"ENSG00000010322","NISCH"
"ENSG00000010803","SCMH1"
"ENSG00000010810","FYN"
"ENSG00000011021","CLCN6"
"ENSG00000011028","MRC2"
"ENSG00000011132","APBA3"
"ENSG00000011275","RNF216"
"ENSG00000012171","SEMA3B"
"ENSG00000012817","KDM5D"
"ENSG00000013441","CLK1"
"ENSG00000013588","GPRC5A"
"ENSG00000019144","PHLDB1"
"ENSG00000020577","SAMD4A"
"ENSG00000021355","SERPINB1"
"ENSG00000023287","RB1CC1"
"ENSG00000023902","PLEKHO1"
"ENSG00000023909","GCLM"
"ENSG00000024048","UBR2"
"ENSG00000025770","NCAPH2"
"ENSG00000026025","VIM"
"ENSG00000026652","AGPAT4"
"ENSG00000028839","TBPL1"
"ENSG00000031003","FAM13B"
"ENSG00000033030","ZCCHC8"
"ENSG00000033100","CHPF2"
"ENSG00000037042","TUBG2"
"ENSG00000038358","EDC4"
"ENSG00000038382","TRIO"
"ENSG00000039523","RIPOR1"
"ENSG00000039650","PNKP"
"ENSG00000040199","PHLPP2"
"ENSG00000042286","AIFM2"
"ENSG00000042429","MED17"
"ENSG00000044446","PHKA2"
"ENSG00000046604","DSG2"
"ENSG00000046651","OFD1"
"ENSG00000047056","WDR37"
"ENSG00000048052","HDAC9"
"ENSG00000048140","TSPAN17"
"ENSG00000049246","PER3"
"ENSG00000049759","NEDD4L"
"ENSG00000050327","ARHGEF5"
"ENSG00000050820","BCAR1"
"ENSG00000054267","ARID4B"
"ENSG00000054793","ATP9A"
"ENSG00000054967","RELT"
"ENSG00000055332","EIF2AK2"
"ENSG00000055483","USP36"
"ENSG00000055609","KMT2C"
"ENSG00000055732","MCOLN3"
"ENSG00000055917","PUM2"
"ENSG00000059378","PARP12"
"ENSG00000059804","SLC2A3"
"ENSG00000060140","STYK1"
"ENSG00000060491","OGFR"
"ENSG00000062194","GPBP1"
"ENSG00000062370","ZNF112"
"ENSG00000062650","WAPL"
"ENSG00000063169","BICRA"
"ENSG00000063176","SPHK2"
"ENSG00000063587","ZNF275"
"ENSG00000064300","NGFR"
"ENSG00000064547","LPAR2"
"ENSG00000064607","SUGP2"
"ENSG00000064932","SBNO2"
"ENSG00000065060","UHRF1BP1"
"ENSG00000065802","ASB1"
"ENSG00000065911","MTHFD2"
"ENSG00000065923","SLC9A7"
"ENSG00000066248","NGEF"
"ENSG00000066697","MSANTD3"
"ENSG00000066735","KIF26A"
"ENSG00000067048","DDX3Y"
"ENSG00000067082","KLF6"
"ENSG00000067191","CACNB1"
"ENSG00000067955","CBFB"
"ENSG00000068028","RASSF1"
"ENSG00000068323","TFE3"
"ENSG00000068366","ACSL4"
"ENSG00000068383","INPP5A"
"ENSG00000069399","BCL3"
"ENSG00000070018","LRP6"
"ENSG00000070404","FSTL3"
"ENSG00000070444","MNT"
"ENSG00000070495","JMJD6"
"ENSG00000070610","GBA2"
"ENSG00000070669","ASNS"
"ENSG00000070770","CSNK2A2"
"ENSG00000070778","PTPN21"
"ENSG00000070961","ATP2B1"
"ENSG00000071054","MAP4K4"
"ENSG00000072195","SPEG"
"ENSG00000072364","AFF4"
"ENSG00000072682","P4HA2"
"ENSG00000072786","STK10"
"ENSG00000072832","CRMP1"
"ENSG00000073008","PVR"
"ENSG00000073417","PDE8A"
"ENSG00000073712","FERMT2"
"ENSG00000073792","IGF2BP2"
"ENSG00000074657","ZNF532"
"ENSG00000075275","CELSR1"
"ENSG00000075391","RASAL2"
"ENSG00000075399","VPS9D1"
"ENSG00000075407","ZNF37A"
"ENSG00000075420","FNDC3B"
"ENSG00000076053","RBM7"
"ENSG00000076604","TRAF4"
"ENSG00000076650","GPATCH1"
"ENSG00000076944","STXBP2"
"ENSG00000077044","DGKD"
"ENSG00000077150","NFKB2"
"ENSG00000077454","LRCH4"
"ENSG00000077458","FAM76B"
"ENSG00000077463","SIRT6"
"ENSG00000077684","JADE1"
"ENSG00000077782","FGFR1"
"ENSG00000078403","MLLT10"
"ENSG00000078747","ITCH"
"ENSG00000078804","TP53INP2"
"ENSG00000079308","TNS1"
"ENSG00000080031","PTPRH"
"ENSG00000080345","RIF1"
"ENSG00000080561","MID2"
"ENSG00000080573","COL5A3"
"ENSG00000080802","CNOT4"
"ENSG00000080822","CLDND1"
"ENSG00000080845","DLGAP4"
"ENSG00000080854","IGSF9B"
"ENSG00000081041","CXCL2"
"ENSG00000082258","CCNT2"
"ENSG00000082512","TRAF5"
"ENSG00000082898","XPO1"
"ENSG00000083290","ULK2"
"ENSG00000083799","CYLD"
"ENSG00000083814","ZNF671"
"ENSG00000083817","ZNF416"
"ENSG00000083844","ZNF264"
"ENSG00000084093","REST"
"ENSG00000084652","TXLNA"
"ENSG00000085185","BCORL1"
"ENSG00000085465","OVGP1"
"ENSG00000085563","ABCB1"
"ENSG00000085788","DDHD2"
"ENSG00000086061","DNAJA1"
"ENSG00000086300","SNX10"
"ENSG00000087074","PPP1R15A"
"ENSG00000087085","ACHE"
"ENSG00000087087","SRRT"
"ENSG00000087095","NLK"
"ENSG00000087206","UIMC1"
"ENSG00000087274","ADD1"
"ENSG00000087448","KLHL42"
"ENSG00000088038","CNOT3"
"ENSG00000088387","DOCK9"
"ENSG00000088448","ANKRD10"
